target_entity_code,target_entity_type,target_entity_label,property,property_label,class,class_label,Gini,proportion,objects_number,facts_number,Gini_times_proportion,gini_calculation_method,time_to_get_result,sampling,queries_number,percentage,queries_number_per_record,rankk
Q1028181,occupations,painter,P40,child,Q5,human,0.1138879247174978,0.0564199,11488,14441,0.00642554847926791,model,1.7621324102083842,0,678,100,4,15
Q1028181,occupations,painter,P170,creator,Q18761202,"watercolor painting",0.8151854737220594,0.00757308,1542,15145,0.006173463777303432,model,1.7621324102083842,0,678,100,4,16
Q1028181,occupations,painter,P138,"named after",Q79007,street,0.6046150432660307,0.00875177,1782,7232,0.005291450608498677,model,1.7621324102083842,0,678,100,4,17
Q1028181,occupations,painter,P921,"main subject",Q3305213,painting,0.26614045739728803,0.017808,3626,6256,0.0047394374632767884,model,1.7621324102083842,0,678,100,4,18
Q1028181,occupations,painter,P161,"cast member",Q11424,film,0.7229455709711848,0.00637474,1298,8072,0.004608593387163081,model,1.7621324102083842,0,678,100,4,19
Q1028181,occupations,painter,P50,author,Q7725634,"literary work",0.8802989305501865,0.00456251,929,14593,0.004016372517292959,model,1.7621324102083842,0,678,100,4,20
Q10798782,occupations,"television actor",P161,"cast member",Q11424,film,0.8436011197805527,0.647603,29135,343438,0.5463184028275001,model,0.29990168412526447,0,352,100,4,1
Q10798782,occupations,"television actor",P161,"cast member",Q5398426,"television series",0.4938763048813423,0.479028,21551,63610,0.23658068075524702,model,0.29990168412526447,0,352,100,4,2
Q10798782,occupations,"television actor",P161,"cast member",Q506240,"television film",0.45715861908771527,0.207784,9348,25093,0.0949903036571598,model,0.29990168412526447,0,352,100,4,3
Q10798782,occupations,"television actor",P161,"cast member",Q21191270,"television series episode",0.6735124985330361,0.123675,5564,28520,0.0832964400595215,model,0.29990168412526447,0,352,100,4,4
Q10798782,occupations,"television actor",P175,performer,Q15632617,"fictional human",0.2272751852052128,0.158817,7145,11348,0.036095072090760974,model,0.29990168412526447,0,352,100,4,5
Q10798782,occupations,"television actor",P57,director,Q11424,film,0.5400114046759172,0.0537909,2420,8102,0.029047713870406538,model,0.29990168412526447,0,352,100,4,6
Q10798782,occupations,"television actor",P175,performer,Q482994,album,0.739388968628255,0.0282513,1271,8483,0.02088873678291387,model,0.29990168412526447,0,352,100,4,7
Q10798782,occupations,"television actor",P58,screenwriter,Q11424,film,0.43743315508021374,0.046767,2104,5376,0.020457430889523433,model,0.29990168412526447,0,352,100,4,8
Q10798782,occupations,"television actor",P162,producer,Q11424,film,0.4446187637276435,0.039343,1770,4604,0.017492614012268086,model,0.29990168412526447,0,352,100,4,9
Q10798782,occupations,"television actor",P175,performer,Q15773317,"television character",0.15412309274815703,0.109671,4934,6732,0.016902872693756402,model,0.29990168412526447,0,352,100,4,10
Q10798782,occupations,"television actor",P725,"voice actor",Q29168811,"animated feature film",0.28525016244314494,0.0489008,2200,3956,0.013948973246236167,model,0.29990168412526447,0,352,100,4,11
Q10798782,occupations,"television actor",P725,"voice actor",Q117467246,"animated television series",0.30993520518358536,0.0426104,1917,3639,0.013206467988551272,model,0.29990168412526447,0,352,100,4,12
Q10798782,occupations,"television actor",P40,child,Q5,human,0.18099897013388258,0.0707062,3181,4587,0.012797744426323778,model,0.29990168412526447,0,352,100,4,13
Q10798782,occupations,"television actor",P175,performer,Q15773347,"film character",0.18763117391912687,0.0645269,2903,4244,0.012107255059841856,model,0.29990168412526447,0,352,100,4,14
Q10798782,occupations,"television actor",P175,performer,Q134556,single,0.7257796641446761,0.0165151,743,4676,0.011986358675665037,model,0.29990168412526447,0,352,100,4,15
Q10798782,occupations,"television actor",P57,director,Q21191270,"television series episode",0.8121261115602267,0.0129143,581,5604,0.010488014199393002,model,0.29990168412526447,0,352,100,4,16
Q10798782,occupations,"television actor",P3373,sibling,Q5,human,0.18302642113690948,0.0567027,2551,3694,0.01037810132077299,model,0.29990168412526447,0,352,100,4,17
Q10798782,occupations,"television actor",P22,father,Q5,human,0.19126151210109227,0.0419658,1888,2781,0.008026445016489858,model,0.29990168412526447,0,352,100,4,18
Q10798782,occupations,"television actor",P161,"cast member",Q61220733,"Star Trek episode",0.8695159462522258,0.00895775,403,5774,0.00778890231700298,model,0.29990168412526447,0,352,100,4,19
Q10798782,occupations,"television actor",P725,"voice actor",Q21191270,"television series episode",0.8741406663141194,0.00793527,357,5316,0.006936544885953025,model,0.29990168412526447,0,352,100,4,20
Q10800557,occupations,"film actor",P161,"cast member",Q11424,film,0.8325780426319641,0.704736,51371,562300,0.586747422669172,model,1.2752665956815084,0,509,100,4,1
Q10800557,occupations,"film actor",P161,"cast member",Q5398426,"television series",0.5060850857395964,0.321247,23417,71405,0.16257846259999628,model,1.2752665956815084,0,509,100,4,2
Q10800557,occupations,"film actor",P161,"cast member",Q506240,"television film",0.501553469415027,0.204681,14920,44946,0.1026583499831564,model,1.2752665956815084,0,509,100,4,3
Q10800557,occupations,"film actor",P161,"cast member",Q21191270,"television series episode",0.6563394949231969,0.0905424,6600,31810,0.05942657374397206,model,1.2752665956815084,0,509,100,4,4
Q10800557,occupations,"film actor",P57,director,Q11424,film,0.7067774631487019,0.0760008,5540,32247,0.05371563017318035,model,1.2752665956815084,0,509,100,4,5
Q10800557,occupations,"film actor",P161,"cast member",Q24862,"short film",0.70185703383363,0.0562735,4102,23415,0.03949594689255014,model,1.2752665956815084,0,509,100,4,6
Q10800557,occupations,"film actor",P58,screenwriter,Q11424,film,0.5818371492889692,0.0522402,3808,14405,0.030395311884275727,model,1.2752665956815084,0,509,100,4,7
Q10800557,occupations,"film actor",P175,performer,Q15632617,"fictional human",0.21794308585932542,0.109899,8011,12476,0.0239517938488635,model,1.2752665956815084,0,509,100,4,8
Q10800557,occupations,"film actor",P162,producer,Q11424,film,0.5574731357863886,0.037287,2718,9566,0.02078651168912948,model,1.2752665956815084,0,509,100,4,9
Q10800557,occupations,"film actor",P175,performer,Q482994,album,0.7832213881206375,0.0225807,1646,13540,0.017685713568285032,model,1.2752665956815084,0,509,100,4,10
Q10800557,occupations,"film actor",P26,spouse,Q5,human,0.10286891741955936,0.155294,11320,13916,0.015974924481979475,model,1.2752665956815084,0,509,100,4,11
Q10800557,occupations,"film actor",P175,performer,Q105543609,"musical work/composition",0.7999191919191921,0.0169836,1238,11137,0.013585479732158475,model,1.2752665956815084,0,509,100,4,12
Q10800557,occupations,"film actor",P40,child,Q5,human,0.185290404040404,0.0708152,5162,7510,0.01312136891454119,model,1.2752665956815084,0,509,100,4,13
Q10800557,occupations,"film actor",P175,performer,Q15773317,"television character",0.15157911829179188,0.0716794,5225,7092,0.010865104028789922,model,1.2752665956815084,0,509,100,4,14
Q10800557,occupations,"film actor",P175,performer,Q134556,single,0.7838484980409233,0.0136225,993,8195,0.010677992133160985,model,1.2752665956815084,0,509,100,4,15
Q10800557,occupations,"film actor",P3373,sibling,Q5,human,0.18085985944605204,0.0543666,3963,5713,0.009832738263570449,model,1.2752665956815084,0,509,100,4,16
Q10800557,occupations,"film actor",P725,"voice actor",Q29168811,"animated feature film",0.2658227848101266,0.0346119,2523,4350,0.009200632234147521,model,1.2752665956815084,0,509,100,4,17
Q10800557,occupations,"film actor",P57,director,Q24862,"short film",0.8264462809917356,0.0106593,777,8177,0.008809350019625463,model,1.2752665956815084,0,509,100,4,18
Q10800557,occupations,"film actor",P22,father,Q5,human,0.20518358531317493,0.035339,2576,3906,0.007250979720782762,model,1.2752665956815084,0,509,100,4,19
Q10800557,occupations,"film actor",P725,"voice actor",Q117467246,"animated television series",0.27866209953657056,0.0245562,1790,3173,0.006842883614158385,model,1.2752665956815084,0,509,100,4,20
Q10871364,occupations,"baseball player",P286,"head coach",Q26895936,"American football team season",0.7123209169054445,0.00636248,251,1494,0.004532130548625261,model,0.09857820669809977,0,207,100,4,1
Q10871364,occupations,"baseball player",P286,"head coach",Q1539532,"sports season of a sports club",0.5422535211267607,0.00659062,260,876,0.0035737874649672445,model,0.09857820669809977,0,207,100,4,2
Q10871364,occupations,"baseball player",P161,"cast member",Q11424,film,0.5687022900763359,0.00572877,226,822,0.0032579649570913033,model,0.09857820669809977,0,207,100,4,3
Q10871364,occupations,"baseball player",P286,"head coach",Q26896697,"baseball team season",0.4571062740076826,0.00537389,212,569,0.0024564392925127683,model,0.09857820669809977,0,207,100,4,4
Q10871364,occupations,"baseball player",P286,"head coach",Q26894053,"basketball team season",0.668103448275862,0.00195184,77,387,0.0013040295441632793,model,0.09857820669809977,0,207,100,4,5
Q10871364,occupations,"baseball player",P3373,sibling,Q5,human,0.11083437110834372,0.00904943,357,446,0.0010029878450108672,model,0.09857820669809977,0,207,100,4,6
Q10871364,occupations,"baseball player",P22,father,Q5,human,0.11538461538461536,0.0069962,276,348,0.000807253582918982,model,0.09857820669809977,0,207,100,4,7
Q10871364,occupations,"baseball player",P1652,referee,Q27020041,"sports season",0.44162436548223366,0.00139417,55,142,0.0006156993688598948,model,0.09857820669809977,0,207,100,4,8
Q10871364,occupations,"baseball player",P1652,referee,Q13406554,"sports competition",0.49593495934959353,0.000785805,31,92,0.00038970807959030164,model,0.09857820669809977,0,207,100,4,9
Q10871364,occupations,"baseball player",P58,screenwriter,Q11424,film,0.3333333333333333,0.00111534,44,88,0.00037177862272919304,model,0.09857820669809977,0,207,100,4,10
Q10871364,occupations,"baseball player",P162,producer,Q11424,film,0.3541666666666666,0.000785805,31,65,0.00027830587241233623,model,0.09857820669809977,0,207,100,4,11
Q10871364,occupations,"baseball player",P161,"cast member",Q5398426,"television series",0.2241379310344827,0.00114068,45,71,0.00025567064376556966,model,0.09857820669809977,0,207,100,4,12
Q10871364,occupations,"baseball player",P50,author,Q7725634,"literary work",0.4933333333333333,0.000481622,19,56,0.00023760033798056612,model,0.09857820669809977,0,207,100,4,13
Q10871364,occupations,"baseball player",P175,performer,Q482994,album,0.7078651685393257,0.000329531,13,76,0.0002332635536378006,model,0.09857820669809977,0,207,100,4,14
Q10871364,occupations,"baseball player",P57,director,Q11424,film,0.16363636363636364,0.00116603,46,64,0.00019080539232630488,model,0.09857820669809977,0,207,100,4,15
Q10871364,occupations,"baseball player",P1346,winner,Q38033430,"class of award",0.18518518518518517,0.000836502,33,48,0.0001549077594704971,model,0.09857820669809977,0,207,100,4,16
Q10871364,occupations,"baseball player",P50,author,Q3331189,"version, edition or translation",0.8082191780821916,0.00017744,7,66,0.00014341024706147887,model,0.09857820669809977,0,207,100,4,17
Q10871364,occupations,"baseball player",P1066,"student of",Q5,human,0.30612244897959184,0.000430925,17,32,0.0001319158842244122,model,0.09857820669809977,0,207,100,4,18
Q10871364,occupations,"baseball player",P1855,"Wikidata property example",Q28649017,"Wikidata property related to baseball",0.20000000000000004,0.000608365,24,36,0.00012167300380228139,model,0.09857820669809977,0,207,100,4,19
Q10871364,occupations,"baseball player",P175,performer,Q134556,single,0.7599999999999999,0.000152091,6,44,0.00011558935361216729,model,0.09857820669809977,0,207,100,4,20
Q10873124,occupations,"chess player",P710,participant,Q3775620,"Danish Chess Championship",0.6632124352331606,0.00521565,130,642,0.0034590819089392534,model,0.07123839060465495,0,230,100,4,1
Q10873124,occupations,"chess player",P50,author,Q3331189,"version, edition or translation",0.7525309336332962,0.00441324,110,779,0.0033210994062051187,model,0.07123839060465495,0,230,100,4,2
Q10873124,occupations,"chess player",P710,participant,Q4584510,"Norwegian Chess Championship",0.6286149162861492,0.00489468,122,535,0.0030768714056934885,model,0.07123839060465495,0,230,100,4,3
Q10873124,occupations,"chess player",P710,participant,Q2210277,"chess tournament",0.21081081081081082,0.0117151,292,448,0.002469679308194855,model,0.07123839060465495,0,230,100,4,4
Q10873124,occupations,"chess player",P50,author,Q13442814,"scholarly article",0.9418113561708121,0.00248746,62,2069,0.0023427203242764433,model,0.07123839060465495,0,230,100,4,5
Q10873124,occupations,"chess player",P50,author,Q7725634,"literary work",0.5186440677966101,0.00284855,71,224,0.0014773812964316677,model,0.07123839060465495,0,230,100,4,6
Q10873124,occupations,"chess player",P710,participant,Q161981,"Tata Steel Chess Tournament",0.5102040816326531,0.00288867,72,222,0.0014738091826499908,model,0.07123839060465495,0,230,100,4,7
Q10873124,occupations,"chess player",P40,child,Q5,human,0.154639175257732,0.00822467,205,280,0.0012718568075360105,model,0.07123839060465495,0,230,100,4,8
Q10873124,occupations,"chess player",P921,"main subject",Q13433827,"encyclopedia article",0.24923076923076917,0.00489468,122,203,0.001219905871460535,model,0.07123839060465495,0,230,100,4,9
Q10873124,occupations,"chess player",P184,"doctoral advisor",Q5,human,0.6571428571428569,0.00168506,42,203,0.0011073219658976926,model,0.07123839060465495,0,230,100,4,10
Q10873124,occupations,"chess player",P22,father,Q5,human,0.26666666666666666,0.00397192,99,171,0.0010591775325977935,model,0.07123839060465495,0,230,100,4,11
Q10873124,occupations,"chess player",P710,participant,Q1725521,"French Chess Championship",0.4691943127962085,0.00224674,56,155,0.0010541577338651022,model,0.07123839060465495,0,230,100,4,12
Q10873124,occupations,"chess player",P3373,sibling,Q5,human,0.11411992263056096,0.00918756,229,288,0.0010484839431253144,model,0.07123839060465495,0,230,100,4,13
Q10873124,occupations,"chess player",P1346,winner,Q2210277,"chess tournament",0.23880597014925373,0.00409228,102,166,0.0009772601386248297,model,0.07123839060465495,0,230,100,4,14
Q10873124,occupations,"chess player",P161,"cast member",Q11424,film,0.5679012345679014,0.00140421,35,127,0.0007974540906670632,model,0.07123839060465495,0,230,100,4,15
Q10873124,occupations,"chess player",P655,translator,Q3331189,"version, edition or translation",0.7664233576642336,0.000641926,16,121,0.0004919869096340116,model,0.07123839060465495,0,230,100,4,16
Q10873124,occupations,"chess player",P1346,winner,Q27020041,"sports season",0.3653846153846153,0.00132397,33,71,0.0004837589692153382,model,0.07123839060465495,0,230,100,4,17
Q10873124,occupations,"chess player",P1346,winner,Q460132,"German Chess Championship",0.23913043478260865,0.00140421,35,57,0.00033578997863154675,model,0.07123839060465495,0,230,100,4,18
Q10873124,occupations,"chess player",P921,"main subject",Q3331189,"version, edition or translation",0.22727272727272727,0.00136409,34,54,0.00031002097200692985,model,0.07123839060465495,0,230,100,4,19
Q10873124,occupations,"chess player",P170,creator,Q3305213,painting,0.783132530120482,0.000361083,9,74,0.0002827760389602543,model,0.07123839060465495,0,230,100,4,20
Q11513337,occupations,"athletics competitor",P710,participant,Q16510064,"sporting event",0.2695318741012942,0.0560322,2286,3973,0.01510245267404183,model,0.11669325033823649,0,230,100,4,1
Q11513337,occupations,"athletics competitor",P1346,winner,Q16510064,"sporting event",0.23312683403977827,0.0288249,1176,1891,0.0067198675628898285,model,0.11669325033823649,0,230,100,4,2
Q11513337,occupations,"athletics competitor",P710,participant,Q50393057,"Paralympic sporting event",0.2247557003257329,0.0116672,476,752,0.0026222783801914027,model,0.11669325033823649,0,230,100,4,3
Q11513337,occupations,"athletics competitor",P710,participant,Q11783626,"athletics meeting",0.5443925233644861,0.00477965,195,661,0.002602003579981244,model,0.11669325033823649,0,230,100,4,4
Q11513337,occupations,"athletics competitor",P161,"cast member",Q11424,film,0.505703422053232,0.00477965,195,594,0.0024170833692921286,model,0.11669325033823649,0,230,100,4,5
Q11513337,occupations,"athletics competitor",P1346,winner,Q18536594,"Olympic sporting event",0.11439588688946012,0.0168881,689,867,0.0019319272039521058,model,0.11669325033823649,0,230,100,4,6
Q11513337,occupations,"athletics competitor",P286,"head coach",Q26895936,"American football team season",0.692073170731707,0.00247561,101,555,0.0017133043346218542,model,0.11669325033823649,0,230,100,4,7
Q11513337,occupations,"athletics competitor",P40,child,Q5,human,0.12292358803986711,0.00970636,396,507,0.001193140371189455,model,0.11669325033823649,0,230,100,4,8
Q11513337,occupations,"athletics competitor",P22,father,Q5,human,0.1689655172413793,0.00590715,241,339,0.000998105045717251,model,0.11669325033823649,0,230,100,4,9
Q11513337,occupations,"athletics competitor",P710,participant,Q27020041,"sports season",0.3253731343283582,0.00276974,113,222,0.0009012001612604656,model,0.11669325033823649,0,230,100,4,10
Q11513337,occupations,"athletics competitor",P50,author,Q13442814,"scholarly article",0.9126213592233007,0.000882396,36,788,0.0008052936156683863,model,0.11669325033823649,0,230,100,4,11
Q11513337,occupations,"athletics competitor",P1346,winner,Q50393057,"Paralympic sporting event",0.16279069767441862,0.00485318,198,275,0.0007900524079497742,model,0.11669325033823649,0,230,100,4,12
Q11513337,occupations,"athletics competitor",P1066,"student of",Q5,human,0.5,0.00115202,47,141,0.0005760086278739154,model,0.11669325033823649,0,230,100,4,13
Q11513337,occupations,"athletics competitor",P1038,relative,Q5,human,0.14982578397212545,0.00299034,122,165,0.0004480304339575299,model,0.11669325033823649,0,230,100,4,14
Q11513337,occupations,"athletics competitor",P286,"head coach",Q1539532,"sports season of a sports club",0.5104895104895106,0.000857885,35,108,0.0004379413909292826,model,0.11669325033823649,0,230,100,4,15
Q11513337,occupations,"athletics competitor",P50,author,Q3331189,"version, edition or translation",0.42657342657342656,0.00100495,41,102,0.0004286854867765697,model,0.11669325033823649,0,230,100,4,16
Q11513337,occupations,"athletics competitor",P50,author,Q7725634,"literary work",0.6753246753246753,0.000612775,25,129,0.0004138221697905996,model,0.11669325033823649,0,230,100,4,17
Q11513337,occupations,"athletics competitor",P710,participant,Q18536594,"Olympic sporting event",0.05194805194805195,0.00715721,292,324,0.0003718033033195542,model,0.11669325033823649,0,230,100,4,18
Q11513337,occupations,"athletics competitor",P286,"head coach",Q5,human,0.19371727748691103,0.00188735,77,114,0.0003656118036789095,model,0.11669325033823649,0,230,100,4,19
Q11513337,occupations,"athletics competitor",P138,"named after",Q79007,street,0.3138686131386861,0.00115202,47,90,0.0003615820583734067,model,0.11669325033823649,0,230,100,4,20
Q11774891,occupations,"ice hockey player",P161,"cast member",Q11424,film,0.4297635605006954,0.00546652,205,514,0.0023493114824309365,model,0.12400195201237997,0,161,100,4,1
Q11774891,occupations,"ice hockey player",P22,father,Q5,human,0.10512129380053904,0.0132796,498,615,0.001395973555709673,model,0.12400195201237997,0,161,100,4,2
Q11774891,occupations,"ice hockey player",P1038,relative,Q5,human,0.16196136701337296,0.0075198,282,391,0.0012179170021538405,model,0.12400195201237997,0,161,100,4,3
Q11774891,occupations,"ice hockey player",P710,participant,Q17315159,"international association football match",0.7471783295711062,0.00149329,56,387,0.001115756551984799,model,0.12400195201237997,0,161,100,4,4
Q11774891,occupations,"ice hockey player",P162,producer,Q11424,film,0.43820224719101125,0.000666649,25,64,0.00029212704140623667,model,0.12400195201237997,0,161,100,4,5
Q11774891,occupations,"ice hockey player",P161,"cast member",Q5398426,"television series",0.2452830188679245,0.00106664,40,66,0.0002616282433726295,model,0.12400195201237997,0,161,100,4,6
Q11774891,occupations,"ice hockey player",P50,author,Q3331189,"version, edition or translation",0.22499999999999998,0.000826645,31,49,0.00018599504013226312,model,0.12400195201237997,0,161,100,4,7
Q11774891,occupations,"ice hockey player",P921,"main subject",Q3331189,"version, edition or translation",0.24242424242424243,0.000666649,25,41,0.00016161185196677584,model,0.12400195201237997,0,161,100,4,8
Q11774891,occupations,"ice hockey player",P50,author,Q13442814,"scholarly article",0.8055555555555557,0.000186662,7,65,0.0001503663606007544,model,0.12400195201237997,0,161,100,4,9
Q11774891,occupations,"ice hockey player",P286,"head coach",Q1539532,"sports season of a sports club",0.6444444444444444,0.000213328,8,37,0.00013747781540640396,model,0.12400195201237997,0,161,100,4,10
Q11774891,occupations,"ice hockey player",P286,"head coach",Q27020779,"ice hockey team season",0.3684210526315789,0.000319991,12,26,0.00011789159306629016,model,0.12400195201237997,0,161,100,4,11
Q11774891,occupations,"ice hockey player",P710,participant,Q493386,"friendly match",0.21739130434782605,0.000479987,18,28,0.00010434504355246177,model,0.12400195201237997,0,161,100,4,12
Q11774891,occupations,"ice hockey player",P710,participant,Q27020041,"sports season",0.2972972972972973,0.000346657,13,24,0.00010306031478800205,model,0.12400195201237997,0,161,100,4,13
Q11774891,occupations,"ice hockey player",P1363,"points/goal scored by",Q17315159,"international association football match",0.3548387096774193,0.00026666,10,21,0.00009462113268377358,model,0.12400195201237997,0,161,100,4,14
Q11774891,occupations,"ice hockey player",P58,screenwriter,Q11424,film,0.14814814814814814,0.000613317,23,31,0.00009086177455020952,model,0.12400195201237997,0,161,100,4,15
Q11774891,occupations,"ice hockey player",P57,director,Q11424,film,0.25925925925925924,0.00026666,10,17,0.00006913395889689855,model,0.12400195201237997,0,161,100,4,16
Q11774891,occupations,"ice hockey player",P162,producer,Q482994,album,0.36363636363636365,0.000186662,7,15,0.00006787697782604585,model,0.12400195201237997,0,161,100,4,17
Q11774891,occupations,"ice hockey player",P175,performer,Q105543609,"musical work/composition",0.5294117647058822,0.000106664,4,13,0.000056469082393096954,model,0.12400195201237997,0,161,100,4,18
Q11774891,occupations,"ice hockey player",P3092,"film crew member",Q11424,film,0.37499999999999994,0.00013333,5,11,0.00004999866670222126,model,0.12400195201237997,0,161,100,4,19
Q11774891,occupations,"ice hockey player",P921,"main subject",Q5707594,"news article",0.26315789473684204,0.000186662,7,12,0.00004912149711095422,model,0.12400195201237997,0,161,100,4,20
Q121594,occupations,professor,P50,author,Q13442814,"scholarly article",0.9639634021399238,0.139598,4045,220449,0.1345676408633349,model,0.3776482741038005,0,501,100,4,1
Q121594,occupations,professor,P184,"doctoral advisor",Q5,human,0.6588635660513562,0.0570817,1654,8043,0.03760906744371008,model,0.3776482741038005,0,501,100,4,2
Q121594,occupations,professor,P50,author,Q7318358,"review article",0.7708003518029902,0.0449683,1303,10067,0.03466154260074877,model,0.3776482741038005,0,501,100,4,3
Q121594,occupations,professor,P50,author,Q3331189,"version, edition or translation",0.5741158765989465,0.0390668,1132,4184,0.02242887811671754,model,0.3776482741038005,0,501,100,4,4
Q121594,occupations,professor,P1066,"student of",Q5,human,0.44869942196531787,0.0263321,763,2005,0.01181521462450088,model,0.3776482741038005,0,501,100,4,5
Q121594,occupations,professor,P50,author,Q871232,editorial,0.5228467448443187,0.0203617,590,1883,0.010646037391570542,model,0.3776482741038005,0,501,100,4,6
Q121594,occupations,professor,P921,"main subject",Q13433827,"encyclopedia article",0.34443211246762856,0.030577,886,1817,0.010531710782934805,model,0.3776482741038005,0,501,100,4,7
Q121594,occupations,professor,P50,author,Q815382,meta-analysis,0.6935332708528584,0.0112852,327,1807,0.007826662740505409,model,0.3776482741038005,0,501,100,4,8
Q121594,occupations,professor,P138,"named after",Q79007,street,0.6658595641646489,0.00952512,276,1376,0.006342395075560571,model,0.3776482741038005,0,501,100,4,9
Q121594,occupations,professor,P22,father,Q5,human,0.1780442804428044,0.0307496,891,1277,0.00547478788909921,model,0.3776482741038005,0,501,100,4,10
Q121594,occupations,professor,P3373,sibling,Q5,human,0.17468354430379748,0.0281267,815,1160,0.004913276111526606,model,0.3776482741038005,0,501,100,4,11
Q121594,occupations,professor,P40,child,Q5,human,0.09971038477451384,0.0375483,1088,1329,0.0037439570207989737,model,0.3776482741038005,0,501,100,4,12
Q121594,occupations,professor,P170,creator,Q3305213,painting,0.9132089836315189,0.00393429,114,2513,0.0035928293806596207,model,0.3776482741038005,0,501,100,4,13
Q121594,occupations,professor,P737,"influenced by",Q5,human,0.43113772455089816,0.00655715,190,478,0.00282703505192817,model,0.3776482741038005,0,501,100,4,14
Q121594,occupations,professor,P802,student,Q5,human,0.15151515151515157,0.0164274,476,646,0.002488998209594566,model,0.3776482741038005,0,501,100,4,15
Q121594,occupations,professor,P180,depicts,Q3305213,painting,0.4664310954063603,0.00521121,151,415,0.002430670051296259,model,0.3776482741038005,0,501,100,4,16
Q121594,occupations,professor,P9161,"thesis committee member",Q187685,"doctoral thesis",0.6366843033509699,0.00355467,103,464,0.0022632000015581828,model,0.3776482741038005,0,501,100,4,17
Q121594,occupations,professor,P1038,relative,Q5,human,0.2597200622083981,0.00821369,238,405,0.0021332611404472237,model,0.3776482741038005,0,501,100,4,18
Q121594,occupations,professor,P921,"main subject",Q13442814,"scholarly article",0.3443223443223444,0.00617753,179,367,0.0021270603131453496,model,0.3776482741038005,0,501,100,4,19
Q121594,occupations,professor,P161,"cast member",Q11424,film,0.5161987041036715,0.00386527,112,351,0.001995246233421149,model,0.3776482741038005,0,501,100,4,20
Q12299841,occupations,cricketer,P22,father,Q5,human,0.5193455671014814,0.0272465,1087,3436,0.014150360482248658,model,0.08715060949325562,0,170,100,4,1
Q12299841,occupations,cricketer,P40,child,Q5,human,0.27345911949685536,0.036195,1444,2531,0.009897856086062393,model,0.08715060949325562,0,170,100,4,2
Q12299841,occupations,cricketer,P3373,sibling,Q5,human,0.29641185647425894,0.0113047,451,831,0.0033508396357912213,model,0.08715060949325562,0,170,100,4,3
Q12299841,occupations,cricketer,P921,"main subject",Q19389637,"biographical article",0.09261744966442954,0.0169445,676,814,0.0015693544547726373,model,0.08715060949325562,0,170,100,4,4
Q12299841,occupations,cricketer,P161,"cast member",Q11424,film,0.5692307692307691,0.00140368,56,204,0.0007990205057506722,model,0.08715060949325562,0,170,100,4,5
Q12299841,occupations,cricketer,P710,participant,Q17315159,"international association football match",0.6514522821576764,0.00105276,42,199,0.0006858251873824391,model,0.08715060949325562,0,170,100,4,6
Q12299841,occupations,cricketer,P50,author,Q13442814,"scholarly article",0.9236209335219239,0.000676777,27,680,0.0006250849781950607,model,0.08715060949325562,0,170,100,4,7
